Title,Summary,Link
Phase III Study Assessing the Efficacy and Safety of Pegcetacoplan in Patients With C3 Glomerulopathy or Immune-Complex Membranoproliferative Glomerulonephritis,This is a Phase 3 study to assess the efficacy and safety of twice-weekly subcutaneous (SC) doses of pegcetacoplan compared to placebo in patients with C3 glomerulopathy (C3G) or immune-complex membranoproliferative glomerulonephritis (IC-MPGN) on the basis of a reduction in proteinuria.,https://clinicaltrials.gov/study/NCT05067127
ALTTO (Adjuvant Lapatinib And/Or Trastuzumab Treatment Optimisation) Study; BIG 2-06/N063D,"This was a four-arm (parallel group) randomized, open-label, multicenter Phase 3 study to investigate the use of a combination of Lapatinib and Trastuzumab, a sequence of Trastuzumab followed by Lapatinib, and Lapatinib alone, compared to Trastuzumab alone in the adjuvant treatment of Human Epidermal Growth Factor Receptor 2 (HER2) positive early breast cancer.",https://clinicaltrials.gov/study/NCT00490139
Participant Preference of Subcutaneous (SC) Versus Intravenous (IV) Herceptin (Trastuzumab) in Human Epidermal Growth Factor Receptor (HER) 2-Positive Early Breast Cancer,"This randomized, open-label, crossover study will evaluate participants' preference and healthcare professional (HCP) satisfaction with SC versus IV Herceptin administration in HER2-positive early breast cancer. Participants will be randomized to receive either SC Herceptin or IV Herceptin every 3 weeks for Cycles 1 to 4, followed by crossover to the other treatment administration for Cycles 5 to 8. For up to 10 additional cycles (for a total of 18 cycles), participants will receive IV or SC Herceptin every 3 weeks.",https://clinicaltrials.gov/study/NCT01401166
"DESTINY-Endometrial01: A Phase III Study of Trastuzumab Deruxtecan Plus Rilvegostomig or Pembrolizumab as First-Line Treatment of HER2-Expressing (IHC 3+/2+), Mismatch Repair Proficient (pMMR) Endometrial Cancer","DESTINY-Endometrial01 will investigate the efficacy of first-line T-DXd + rilvegostomig (Arm A) and/or T-DXd+ pembrolizumab (Arm B) when compared to chemotherapy (carboplatin + paclitaxel) + pembrolizumab (Arm C), by assessment of progression free survival (PFS), as assessed by BICR, in participants with HER2-expressing (IHC 3+/2+), pMMR, primary advanced (Stage III/IV) or recurrent EC.",https://clinicaltrials.gov/study/NCT06989112
A Study of Pertuzumab in Combination With Trastuzumab and Chemotherapy in Participants With Human Epidermal Growth Factor Receptor 2 (HER2)-Positive Metastatic Gastroesophageal Junction or Gastric Cancer,"This double-blind, placebo-controlled, randomized, multicenter, international, parallel arm study will evaluate the efficacy and safety of pertuzumab in combination with trastuzumab, fluoropyrimidine and cisplatin as first-line treatment in participants with HER2-positive metastatic gastroesophageal junction (GEJ) or gastric cancer (GC). Participants will be randomized to receive pertuzumab 840 milligrams (mg) or placebo intravenously every 3 weeks (q3w) in combination with trastuzumab (initial dose of 8 milligrams per kilogram \[mg/kg\] intravenously \[IV\] followed by 6 mg/kg IV q3w) and cisplatin and fluoropyrimidine (capecitabine or 5-fluorouracil) for the first 6 treatment cycles. Participants will continue to receive pertuzumab or placebo and trastuzumab until disease progression occurrence of unacceptable toxicity or withdrawal from the study for another reason.",https://clinicaltrials.gov/study/NCT01774786
A Global Phase III Study of Rilvegostomig or Pembrolizumab Monotherapy for First-Line Treatment of PD-L1-high Metastatic Non-small Cell Lung Cancer,The purpose of ARTEMIDE-Lung04 is to assess the efficacy and safety of rilvegostomig compared with pembrolizumab monotherapy as 1L treatment in participants with mNSCLC and whose tumors express PD-L1.,https://clinicaltrials.gov/study/NCT06868277
"A Study of Rapcabtagene Autoleucel in Systemic Lupus Erythematosus (SLE) Patients With Active, Refractory Lupus Nephritis (LN)","The purpose of this study is to evaluate the efficacy and safety of rapcabtagene autoleucel (administered once following lymphodepletion) versus Standard of Care (SOC) in patients with systemic lupus erythematosus (SLE) with active, refractory lupus nephritis (LN).",https://clinicaltrials.gov/study/NCT06581198
"Pre- and Postoperative Use of ZD1839 (Iressa) in Recurrent Glioblastoma, Including Translational Research","This study aims to determine effectiveness of Gefitinib (Iressa) in recurrent glioblastoma after standard treatment (surgery, radiationtherapy and at least a first line chemotherapy). Gefitinib is a specific inhibitor of the epidermal growth factor receptor (EGFR). EGFR is elevated in more than 50% of malignant gliomas. At recurrence, secondary surgery and pre- and postoperative Gefitinib is offered to patients in good performance status. Clinical outcome of patients and correlation to translational research will be evaluated.",https://clinicaltrials.gov/study/NCT00250887
Study of Radium-223 Dichloride Versus Placebo and Hormonal Treatment as Background Therapy in Subjects With Bone Predominant HER2 (Human Epidermal Growth Factor Receptor 2) Negative Hormone Receptor Positive Metastatic Breast Cancer,The objective of this study was to assess efficacy and safety of radium-223 dichloride in subjects with human epidermal growth factor receptor 2 negative (HER2 negative) hormone receptor positive breast cancer with bone metastases treated with hormonal treatment background therapy,https://clinicaltrials.gov/study/NCT02258464
Study of PF-07220060 With Letrozole in Adults With HR-positive HER2-negative Breast Cancer Who Have Not Received Anticancer Treatment for Advanced/Metastatic Disease,"The purpose of this study is to determine the safety and efficacy of PF-07220060 with letrozole compared to approved treatments (ie, palbociclib, ribociclib or abemaciclib with letrozole) in people with breast cancer:

* HR-positive (breast cancer cells that need estrogen or progesterone to grow)
* HER2-negative (cells that have a small amount or none of a protein called HER2 on their surface);
* locally advanced (that has spread from where it started to nearby tissue or lymph nodes) or metastatic disease (the spread of cancer to other places in the body)
* who have not received any prior systemic anti-cancer treatment for advanced/metastatic disease.

Approximately half of the participants will receive PF-07220060 plus letrozole while the other half of participants will receive the investigator's choice of treatment plus letrozole.

The study team will monitor how each participant is doing with the study treatment during regular visits at the study clinic.",https://clinicaltrials.gov/study/NCT06760637
Phase III Study of Rindopepimut/GM-CSF in Patients With Newly Diagnosed Glioblastoma,"This 2-arm, randomized, phase III study will investigate the efficacy and safety of the addition of rindopepimut (an experimental cancer vaccine that may act to promote anti-cancer effects in patients who have tumors that express the EGFRvIII protein) to the current standard of care (temozolomide) in patients with recently diagnosed glioblastoma, a type of brain cancer.

All patients will be administered temozolomide, the standard treatment for glioblastoma. Half the patients will be randomly assigned to receive rindopepimut and half the patients will be randomly assigned to receive a control called keyhole limpet hemocyanin.

Patients will be treated in a blinded fashion (neither the patient or the doctor will know which arm of the study the patient is on). Patients will be treated until disease progression or intolerance to therapy and all patients will be followed for survival.",https://clinicaltrials.gov/study/NCT01480479
"A Study of Trastuzumab Emtansine in Participants With Human Epidermal Growth Factor Receptor (HER)2 Immunohistochemistry (IHC)-Positive, Locally Advanced or Metastatic Non-Small Cell Lung Cancer (NSCLC)","This is a Phase 2, multicenter study designed to evaluate the efficacy and safety of trastuzumab emtansine administered as a single-agent in participants with HER2-positive (HER2 IHC 2+ or HER2 IHC 3+) advanced or metastatic NSCLC. Participants will be treated with trastuzumab emtansine administered intravenously at a dose of 3.6 milligrams per kilogram (mg/kg) on Day 1 of 21-day cycles until disease progression (as assessed by the investigator), unmanageable toxicity, or study termination by the Sponsor, whichever occurs first.",https://clinicaltrials.gov/study/NCT02289833
A Trial of Felzartamab in Kidney Transplant Recipients With Late Antibody-Mediated Rejection (AMR),The main goal of this trial is to evaluate the efficacy of felzartamab compared to placebo in kidney transplant recipients diagnosed with late active or chronic active AMR.,https://clinicaltrials.gov/study/NCT06685757
"A Study Evaluating the Safety, Tolerability, Pharmacokinetics, and Efficacy of TT125-802 in Subjects With Advanced Solid Tumors",The purpose of this study is to test the safety and therapeutic effect of TT125-802 (single agent) in subjects with advanced solid tumors.,https://clinicaltrials.gov/study/NCT06403436
Neoadjuvant Study Using Trastuzumab or Trastuzumab With Pertuzumab in Gastric or Gastroesophageal Junction Adenocarcinoma,The purpose of this study is to find out whether either trastuzumab or the combination of trastuzumab and pertuzumab with standard chemotherapy shows more activity against gastro-oesophageal adenocarcinoma than standard chemotherapy given before and after surgery and it can be safely administered.,https://clinicaltrials.gov/study/NCT02205047
"Study of Irinotecan and Cetuximab Versus Irinotecan as Second-Line Treatment in Patients With Metastatic, EGFR-Positive Colorectal Cancer","The purpose of this study is to determine whether overall survival is prolonged in subjects with metastatic, epidermal growth factor receptor (EGFR)-positive colorectal cancer treated with cetuximab in combination with irinotecan compared with irinotecan alone as second-line therapy following treatment with a fluoropyrimidine and oxaliplatin based, non-irinotecan-containing regimen.",https://clinicaltrials.gov/study/NCT00063141
Establishing the Safety and Efficacy of Reloxaliase in Patients With Enteric Hyperoxaluria,"The purpose of this study is to determine the efficacy, durability and long-term safety of reloxaliase in patients with enteric hyperoxaluria.",https://clinicaltrials.gov/study/NCT03847090
Preserve-Transplant Study,"The aim of this study is to test if alkali treatment will preserve kidney graft function and diminish the progression of chronic kidney disease in renal transplant patients. Additionally the underlying mechanisms of nephrotoxicity of metabolic acidosis will be investigated in this cohort.

This study is a multi-center, prospective, randomized, single-blind (patient), placebo-controlled interventional trial to test the superiority of alkali treatment in comparison to placebo on preservation of kidney function in 300 kidney transplant recipients. The duration of the study will be 2 years for the individual participant. The patients will be randomized into 2 arms: intervention arm (sodium hydrogen carbonate, product: Nephrotrans®) and placebo arm (placebo comparator).

Several studies in CKD (chronic kidney disease) patients have shown that alkali therapy slows progression of CKD.",https://clinicaltrials.gov/study/NCT03102996
Study of the Safety and Efficacy of PRX-102 Compared to Agalsidase Beta on Renal Function,"This was a randomized, double-blind, active control study of the enzyme replacement therapy (ERT) drug PRX-102 (pegunigalsidase alfa) in Fabry disease patients with impaired renal function. Patients who had been treated for approximately 1 year with agalsidase beta and who had been on a stable dose of that product for at least 6 months were randomized in a 2:1 ratio to either switch to PRX-102 or to continue treatment with agalsidase beta. Both treatments were delivered by intravenous infusions every two weeks, at a dosage of 1 mg/kg.",https://clinicaltrials.gov/study/NCT02795676
